FamilyID	TaxonID	Count	Change	Pvalue
GH55_2	43	8	1	0.0572377
GH55_2	49	5	0	0.645987
GH55_2	Sporothrix_phasma_CBS119721	2	-4	0.00289661
GH55_2	56	7	2	0.136002
GH55_2	Sporothrix_schenckii_1099	5	-1	0.125295
GH55_2	Sporothrix_globosa_CBS120340	8	2	0.0281312
GH55_2	Sporothrix_brasiliensis_5110	6	0	0.582646
GH55_2	Sporothrix_curviconia_CBS95973	7	1	0.326142
GH55_2	Sporothrix_luriei_CBS93772	5	-1	0.34133
GH55_2	50	5	0	0.66875
GH55_2	57	4	-1	0.604271
GH55_2	Sporothrix_epigloea_CBS119000	2	-1	0.313863
GH55_2	Sporothrix_epigloea_CBS57363	2	-1	0.161492
GH55_2	55	3	0	0.640642
GH55_2	Sporothrix_inflata_CBS23968	8	1	0.251796
GH55_2	53	6	1	0.0759059
GH55_2	Sporothrix_thermara_CBS139747MAG	5	0	0.835024
GH55_2	54	3	-2	0.0352975
